Date,Open,High,Low,Close,Increment,Return,Volume,Turnover
2010-05-28,19.5580,19.7700,19.4210,19.5270,-0.1513,-0.7689,"67,502,221",0
2010-06-01,19.3230,19.9130,19.3160,19.5950,0.0679,0.3477,"76,155,453",0
2010-06-02,19.7240,20.0420,19.4740,20.0270,0.4316,2.2026,"65,718,772",0
2010-06-03,20.0950,20.3820,19.9890,20.3300,0.3028,1.5120,"67,839,372",0
2010-06-04,19.7540,20.1100,19.3910,19.5200,-0.8097,-3.9829,"89,833,275",0
2010-06-07,19.5430,19.5500,19.1040,19.1410,-0.3787,-1.9401,"80,456,154",0
2010-06-08,19.1110,19.1190,18.6570,19.0050,-0.1361,-0.7110,"87,354,921",0
2010-06-09,19.0880,19.3160,18.7330,18.7630,-0.2421,-1.2739,"87,808,432",0
2010-06-10,19.0210,19.0360,18.7550,18.9220,0.1586,0.8453,"78,950,407",0
2010-06-11,18.9520,19.4670,18.7480,19.4210,0.4994,2.6393,"68,057,774",0
2010-06-14,19.5720,19.6480,19.2780,19.3000,-0.1206,-0.6210,"50,972,363",0
2010-06-15,19.4900,20.1710,19.4820,20.1180,0.8174,4.2351,"81,644,277",0
2010-06-16,20.0350,20.1180,19.8520,19.9210,-0.1971,-0.9797,"48,699,364",0
2010-06-17,20.1030,20.1860,19.7090,19.9590,0.0380,0.1908,"47,998,692",0
2010-06-18,19.9590,20.0800,19.8070,20.0120,0.0529,0.2650,"52,079,257",0
2010-06-21,20.2690,20.3520,19.5950,19.6410,-0.3706,-1.8519,"54,625,218",0
2010-06-22,19.8000,20.0190,19.4970,19.5050,-0.1364,-0.6945,"55,986,386",0
2010-06-23,19.5120,19.5120,19.0880,19.1570,-0.3477,-1.7827,"61,468,282",0
2010-06-24,19.2700,19.4670,18.8690,18.9220,-0.2353,-1.2283,"85,252,196",0
2010-06-25,18.9600,19.0050,18.4000,18.5660,-0.3554,-1.8783,"156,256,672",0
2010-06-28,18.5510,18.6260,18.2560,18.4000,-0.1667,-0.8979,"73,787,879",0
2010-06-29,18.2630,18.3160,17.4910,17.6430,-0.7567,-4.1126,"119,885,791",0
2010-06-30,17.6350,17.9230,17.3710,17.4150,-0.2274,-1.2889,"81,057,995",0
2010-07-01,17.4760,17.6500,17.2030,17.5290,0.1135,0.6517,"92,239,399",0
2010-07-02,17.6810,17.7710,17.4460,17.6120,0.0834,0.4758,"62,489,452",0
2010-07-06,17.9380,18.2330,17.8470,18.0290,0.4164,2.3643,"73,594,554",0
2010-07-07,18.0290,18.4070,17.8700,18.3920,0.3633,2.0151,"81,967,278",0
2010-07-08,18.6190,18.6340,18.1420,18.4760,0.0835,0.4540,"50,768,072",0
2010-07-09,18.4150,18.4760,18.2790,18.3700,-0.1060,-0.5737,"53,811,348",0
2010-07-12,18.4910,18.8390,18.4830,18.7930,0.4234,2.3049,"49,862,201",0
2010-07-13,19.0280,19.1490,18.8460,19.0210,0.2276,1.2111,"61,928,666",0
2010-07-14,19.3000,19.3840,19.0120,19.2550,0.2345,1.2329,"72,808,022",0
2010-07-15,19.3000,19.3680,18.9070,19.3080,0.0528,0.2742,"56,934,631",0
2010-07-16,19.3080,19.4060,18.8310,18.8390,-0.4692,-2.4301,"65,064,760",0
2010-07-19,18.8920,19.1490,18.8540,19.0960,0.2569,1.3637,"38,181,760",0
2010-07-20,18.8160,19.2850,18.6950,19.2850,0.1896,0.9929,"45,530,162",0
2010-07-21,19.3760,19.4140,18.9070,19.0120,-0.2729,-1.4151,"73,297,593",0
2010-07-22,19.3080,19.6710,19.2780,19.5580,0.5454,2.8687,"73,016,369",0
2010-07-23,19.5580,19.6930,19.1110,19.5350,-0.0228,-0.1166,"108,520,012",0
2010-07-26,19.5720,19.8300,19.5270,19.7540,0.2193,1.1226,"67,249,812",0
2010-07-27,19.7850,19.8610,19.6480,19.8000,0.0456,0.2308,"60,682,484",0
2010-07-28,19.7310,19.8230,19.5500,19.6410,-0.1587,-0.8015,"69,704,731",0
2010-07-29,19.7770,19.9890,19.3760,19.7010,0.0604,0.3075,"69,446,188",0
2010-07-30,19.4900,19.5580,19.1860,19.5350,-0.1666,-0.8456,"83,534,777",0
2010-08-02,19.6710,19.9660,19.4900,19.9290,0.3940,2.0169,"55,044,515",0
2010-08-03,19.8300,19.9440,19.6560,19.8000,-0.1291,-0.6478,"56,877,663",0
2010-08-04,19.7920,19.8610,19.2550,19.4740,-0.3257,-1.6450,"78,531,804",0
2010-08-05,19.2920,19.3610,19.0810,19.2020,-0.2721,-1.3972,"64,922,012",0
2010-08-06,19.0580,19.3460,18.9370,19.3380,0.1362,0.7093,"55,985,489",0
2010-08-09,19.3380,19.4740,19.2020,19.3840,0.0456,0.2358,"57,102,542",0
2010-08-10,19.1720,19.1790,18.8310,18.9750,-0.4088,-2.1090,"87,257,683",0
2010-08-11,18.6800,18.8460,18.5890,18.8160,-0.1594,-0.8401,"76,745,824",0
2010-08-12,18.4830,18.6800,18.4380,18.5360,-0.2797,-1.4865,"70,240,460",0
2010-08-13,18.4300,18.6720,18.3470,18.4680,-0.0682,-0.3679,"45,263,430",0
2010-08-16,18.4380,18.6260,18.3920,18.5430,0.0758,0.4104,"40,968,392",0
2010-08-17,18.8020,18.9920,18.7190,18.8020,0.2588,1.3956,"52,935,026",0
2010-08-18,18.7790,18.9850,18.5740,18.8860,0.0838,0.4457,"46,818,826",0
2010-08-19,18.7340,18.8250,18.4220,18.5960,-0.2896,-1.5334,"54,069,035",0
2010-08-20,18.4970,18.5660,18.4140,18.4370,-0.1592,-0.8561,"49,565,732",0
2010-08-23,18.5960,18.7490,18.4450,18.4750,0.0379,0.2056,"51,728,126",0
2010-08-24,18.3310,18.5280,18.2620,18.2930,-0.1826,-0.9884,"66,532,358",0
2010-08-25,18.2620,18.4290,18.1630,18.3380,0.0456,0.2493,"47,404,767",0
