#,Company,Symbol,Weight,Price,Chg,% Chg
299,DTE Energy,DTE,0.05%,139.5,-0.99,(-0.70%)
300,Warner Bros. Discovery,WBD,0.05%,11.64,0.10,(0.83%)
301,Hewlett Packard Enterprise,HPE,0.05%,21.81,0.77,(3.64%)
302,American Water Works,AWK,0.05%,145.92,0.29,(0.20%)
303,Fifth Third Bancorp,FITB,0.05%,42.89,-0.22,(-0.50%)
304,"Rollins, Inc.",ROL,0.05%,58.0,-0.44,(-0.75%)
305,NRG Energy,NRG,0.05%,145.23,-2.97,(-2.00%)
306,Kellanova,K,0.05%,79.84,-0.20,(-0.25%)
307,Keysight Technologies,KEYS,0.05%,160.49,1.98,(1.25%)
308,W. R. Berkley Corporation,WRB,0.05%,72.53,-0.11,(-0.16%)
309,Ameren,AEE,0.05%,101.52,-0.47,(-0.47%)
310,PPL Corporation,PPL,0.05%,36.72,-0.38,(-1.01%)
311,AvalonBay Communities,AVB,0.05%,190.46,-0.16,(-0.08%)
312,Veralto,VLTO,0.05%,108.46,-0.45,(-0.41%)
313,Iron Mountain,IRM,0.05%,90.57,-0.73,(-0.79%)
314,General Mills,GIS,0.05%,49.98,0.34,(0.67%)
315,Atmos Energy,ATO,0.05%,166.12,0.03,(0.02%)
316,Synchrony Financial,SYF,0.05%,71.17,-0.41,(-0.57%)
317,Mettler Toledo,MTD,0.05%,,-38.88,(-2.95%)
318,Western Digital,WDC,0.05%,75.3,-0.34,(-0.45%)
319,Cboe Global Markets,CBOE,0.05%,249.55,-2.39,(-0.95%)
320,"The Trade Desk, Inc.",TTD,0.04%,52.3,-0.23,(-0.45%)
321,Teledyne Technologies,TDY,0.04%,543.36,1.55,(0.29%)
322,PTC Inc.,PTC,0.04%,212.58,1.69,(0.80%)
323,Expedia Group,EXPE,0.04%,205.38,-0.30,(-0.15%)
324,International Paper,IP,0.04%,48.04,1.02,(2.18%)
325,Verisign,VRSN,0.04%,271.42,-0.00,(-0.00%)
326,Supermicro,SMCI,0.04%,42.3,-0.31,(-0.73%)
327,PPG Industries,PPG,0.04%,111.58,-0.48,(-0.43%)
328,FirstEnergy,FE,0.04%,43.51,-0.07,(-0.16%)
329,HP Inc.,HPQ,0.04%,26.63,0.16,(0.59%)
330,Dollar General,DG,0.04%,112.47,-2.38,(-2.07%)
331,PulteGroup,PHM,0.04%,125.28,-1.26,(-0.99%)
332,CenterPoint Energy,CNP,0.04%,37.79,-0.72,(-1.86%)
333,Equity Residential,EQR,0.04%,64.27,-0.21,(-0.33%)
334,Tyler Technologies,TYL,0.04%,566.56,-1.39,(-0.24%)
335,Steris,STE,0.04%,247.48,-2.07,(-0.83%)
336,Dover Corporation,DOV,0.04%,177.46,-1.28,(-0.72%)
337,Huntington Bancshares,HBAN,0.04%,16.67,-0.14,(-0.80%)
338,Eversource Energy,ES,0.04%,65.43,-0.28,(-0.43%)
339,Williams-Sonoma,WSM,0.04%,197.06,-2.22,(-1.11%)
340,Darden Restaurants,DRI,0.04%,206.56,-0.94,(-0.45%)
341,Northern Trust,NTRS,0.04%,126.07,-1.81,(-1.42%)
342,Cincinnati Financial,CINF,0.04%,152.94,-0.71,(-0.46%)
343,Lululemon Athletica,LULU,0.04%,198.27,0.14,(0.07%)
344,SBA Communications,SBAC,0.04%,220.94,-2.77,(-1.24%)
345,Dollar Tree,DLTR,0.04%,112.4,-0.95,(-0.84%)
346,Ulta Beauty,ULTA,0.04%,520.14,3.45,(0.67%)
347,Insulet Corporation,PODD,0.04%,329.17,-3.83,(-1.15%)
348,Leidos,LDOS,0.04%,180.48,0.31,(0.17%)
349,Church & Dwight,CHD,0.04%,94.95,0.03,(0.04%)
350,Regions Financial Corporation,RF,0.04%,25.75,-0.11,(-0.41%)
351,T. Rowe Price,TROW,0.04%,104.52,-1.25,(-1.18%)
352,LabCorp,LH,0.04%,275.86,-2.24,(-0.81%)
353,Expand Energy,EXE,0.04%,96.03,2.03,(2.15%)
354,Smurfit WestRock,SW,0.04%,43.7,1.74,(4.16%)
355,Hubbell Incorporated,HUBB,0.04%,427.96,-2.00,(-0.47%)
356,Corpay,CPAY,0.04%,317.61,1.19,(0.38%)
357,Jabil,JBL,0.04%,205.05,0.99,(0.49%)
358,"NVR, Inc.",NVR,0.04%,,-82.83,(-1.03%)
359,CMS Energy,CMS,0.04%,72.78,-0.23,(-0.32%)
360,NetApp,NTAP,0.04%,107.9,-0.52,(-0.48%)
361,CDW,CDW,0.04%,164.19,-2.72,(-1.63%)
362,Devon Energy,DVN,0.04%,33.9,0.12,(0.34%)
363,Citizens Financial Group,CFG,0.04%,48.33,-0.48,(-0.98%)
364,Global Payments,GPN,0.04%,85.69,-0.08,(-0.10%)
365,Edison International,EIX,0.04%,53.97,-1.99,(-3.57%)
366,Zimmer Biomet,ZBH,0.04%,104.44,-1.27,(-1.21%)
367,Quest Diagnostics,DGX,0.04%,184.42,0.02,(0.01%)
368,First Solar,FSLR,0.04%,191.75,-14.69,(-7.12%)
369,"Tapestry, Inc.",TPR,0.04%,98.68,-0.20,(-0.20%)
370,Biogen,BIIB,0.04%,138.95,-0.04,(-0.03%)
371,Tyson Foods,TSN,0.04%,56.88,0.30,(0.53%)
372,GoDaddy,GDDY,0.04%,146.1,-0.23,(-0.16%)
373,Texas Pacific Land Corporation,TPL,0.04%,879.83,-14.94,(-1.67%)
374,Lennox International,LII,0.04%,571.15,-17.93,(-3.04%)
375,Loews Corporation,L,0.03%,96.45,-0.25,(-0.26%)
376,ON Semiconductor,ON,0.03%,48.91,-0.56,(-1.14%)
377,Amcor,AMCR,0.03%,8.67,0.10,(1.18%)
378,KeyCorp,KEY,0.03%,18.17,-0.05,(-0.25%)
379,NiSource,NI,0.03%,42.3,-0.24,(-0.57%)
380,Trimble Inc.,TRMB,0.03%,80.73,0.52,(0.65%)
381,Gen Digital,GEN,0.03%,31.01,-0.43,(-1.37%)
382,McCormick & Company,MKC,0.03%,70.9,1.02,(1.46%)
383,Genuine Parts Company,GPC,0.03%,136.34,-0.65,(-0.47%)
384,Packaging Corporation of America,PKG,0.03%,210.56,12.44,(6.28%)
385,Steel Dynamics,STLD,0.03%,128.02,2.56,(2.04%)
386,Erie Indemnity,ERIE,0.03%,359.9,-4.38,(-1.20%)
387,Invitation Homes,INVH,0.03%,30.58,0.03,(0.10%)
388,Weyerhaeuser,WY,0.03%,25.8,-0.22,(-0.86%)
389,Gartner,IT,0.03%,244.7,0.50,(0.21%)
390,Halliburton,HAL,0.03%,21.37,0.26,(1.26%)
391,"F5, Inc.",FFIV,0.03%,314.51,-1.29,(-0.41%)
392,Coterra,CTRA,0.03%,23.5,0.27,(1.16%)
393,LyondellBasell,LYB,0.03%,55.52,0.19,(0.34%)
394,Jacobs Solutions,J,0.03%,147.3,0.76,(0.52%)
395,Principal Financial Group,PFG,0.03%,78.32,-0.41,(-0.51%)
396,West Pharmaceutical Services,WST,0.03%,242.6,-3.78,(-1.54%)
397,Teradyne,TER,0.03%,109.04,-0.48,(-0.44%)
398,Ralph Lauren Corporation,RL,0.03%,285.46,-0.77,(-0.27%)
399,Waters Corporation,WAT,0.03%,290.44,-6.29,(-2.12%)
400,Pentair,PNR,0.03%,104.45,-0.60,(-0.57%)
401,Incyte,INCY,0.03%,87.02,0.81,(0.95%)
402,Alliant Energy,LNT,0.03%,66.12,-0.22,(-0.32%)
403,International Flavors & Fragrances,IFF,0.03%,66.13,0.02,(0.02%)
404,Essex Property Trust,ESS,0.03%,262.73,0.69,(0.26%)
405,Bunge Global,BG,0.03%,84.19,1.82,(2.21%)
